投资期限,投资金额,操作,收益方式,标题,预期年化利率,预期收益
7个月,3800.0元,投资,每月回收本息,贝月盈VIP26906,10%,127.68元
7个月,3300.0元,还款中,每月回收本息,贝月盈VIP34488,10%,110.88元
7个月,4500.0元,还款中,每月回收本息,贝月盈VIP34487,10%,151.2元
10个月,4800.0元,还款中,每月回收本息,贝月盈VIP34470,11%,245.2元
7个月,3800.0元,还款中,每月回收本息,贝月盈VIP34465,10%,127.68元
5个月,4500.0元,还款中,每月回收本息,贝月盈VIP34473,10%,113.05元
5个月,4500.0元,还款中,每月回收本息,贝月盈VIP34476,10%,113.05元
7个月,4000.0元,还款中,每月回收本息,贝月盈VIP34429,10%,134.4元
7个月,3800.0元,还款中,每月回收本息,贝月盈VIP34392,10%,127.68元
7个月,3800.0元,还款中,每月回收本息,贝月盈VIP34390,10%,127.68元
7个月,3800.0元,还款中,每月回收本息,贝月盈VIP34355,10%,127.68元
7个月,3300.0元,还款中,每月回收本息,贝月盈VIP34374,10%,110.88元
5个月,4000.0元,还款中,每月回收本息,贝月盈VIP34334,10%,100.5元
5个月,3300.0元,还款中,每月回收本息,贝月盈VIP34313,10%,82.9元
5个月,3300.0元,还款中,每月回收本息,贝月盈VIP34319,10%,82.9元
6个月,3300.0元,还款中,每月回收本息,贝月盈VIP34316,10%,96.84元
7个月,4000.0元,还款中,每月回收本息,贝月盈VIP34311,10%,134.4元
7个月,3300.0元,还款中,每月回收本息,贝月盈VIP34305,10%,110.88元
7个月,3300.0元,还款中,每月回收本息,贝月盈VIP34295,10%,110.88元
6个月,5300.0元,还款中,每月回收本息,贝月盈VIP34234,10%,155.58元
